"Timestamp","Which dept. are you in?","What level of degree are you doing?","Choose language of your choice?","Choose one of the movie? "
"2018/01/04 2:42:54 AM EST","SYD","Graduate (Masters)","Python","Back to the Future Franchise"
"2018/01/04 3:34:03 AM EST","ECE","Graduate (PhD.)","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 11:53:58 AM EST","SYD","Undergrad","Python","Other"
"2018/01/04 11:54:37 AM EST","SYD","Undergrad","Python","Harry Potter Franchise"
"2018/01/04 11:55:31 AM EST","SYD","Undergrad","Python","Harry Potter Franchise"
"2018/01/04 11:55:53 AM EST","SYD","Undergrad","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 11:57:18 AM EST","SYD","Undergrad","Python","Other"
"2018/01/04 11:57:26 AM EST","SYD","Undergrad","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:57:26 AM EST","SYD","Undergrad","Python","Star Wars Franchise"
"2018/01/04 11:57:34 AM EST","Other","Undergrad","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 11:57:36 AM EST","SYD","Undergrad","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:30 AM EST","Other","Undergrad","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:32 AM EST","Other","Undergrad","Matlab","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:34 AM EST","Other","Undergrad","Matlab","Harry Potter Franchise"
"2018/01/04 11:58:40 AM EST","SYD","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 11:58:41 AM EST","SYD","Undergrad","Python","Other"
"2018/01/04 11:58:43 AM EST","SYD","Undergrad","Matlab","Harry Potter Franchise"
"2018/01/04 11:58:49 AM EST","Other","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 11:58:50 AM EST","Other","Graduate (Masters)","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:51 AM EST","Other","Undergrad","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:51 AM EST","SYD","Undergrad","Python","Star Wars Franchise"
"2018/01/04 11:58:52 AM EST","Other","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 11:58:52 AM EST","SYD","Undergrad","Python","Back to the Future Franchise"
"2018/01/04 11:58:53 AM EST","Other","Undergrad","C/C++","Back to the Future Franchise"
"2018/01/04 11:58:54 AM EST","SYD","Undergrad","Matlab","Star Wars Franchise"
"2018/01/04 11:58:56 AM EST","SYD","Undergrad","Python","Harry Potter Franchise"
"2018/01/04 11:58:57 AM EST","Other","Undergrad","Python","The Lord of the Rings (Trilogy)"
"2018/01/04 11:58:58 AM EST","Other","Undergrad","Matlab","Star Wars Franchise"
"2018/01/04 11:59:00 AM EST","SYD","Undergrad","Matlab","Harry Potter Franchise"
"2018/01/04 11:59:03 AM EST","Other","Graduate (Masters)","Matlab","Other"
"2018/01/04 11:59:03 AM EST","SYD","Graduate (Masters)","Python","Harry Potter Franchise"
"2018/01/04 11:59:04 AM EST","Other","Graduate (Masters)","Matlab","Other"
"2018/01/04 11:59:09 AM EST","Other","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 11:59:09 AM EST","SYD","Undergrad","Matlab","Harry Potter Franchise"
"2018/01/04 11:59:10 AM EST","SYD","Undergrad","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 11:59:11 AM EST","Other","Graduate (Masters)","Matlab","The Lord of the Rings (Trilogy)"
"2018/01/04 11:59:12 AM EST","SYD","Undergrad","Python","Other"
"2018/01/04 11:59:20 AM EST","SYD","Undergrad","Matlab","The Lord of the Rings (Trilogy)"
"2018/01/04 11:59:20 AM EST","Other","Undergrad","C/C++","Batman Begins/Dark Knight Rises"
"2018/01/04 11:59:29 AM EST","Other","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 11:59:33 AM EST","Other","Undergrad","C/C++","Back to the Future Franchise"
"2018/01/04 11:59:35 AM EST","SYD","Undergrad","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 11:59:52 AM EST","SYD","Undergrad","Matlab","Batman Begins/Dark Knight Rises"
"2018/01/04 11:59:56 AM EST","SYD","Undergrad","C/C++","Harry Potter Franchise"
"2018/01/04 12:00:01 PM EST","Other","Undergrad","R","Batman Begins/Dark Knight Rises"
"2018/01/04 12:00:04 PM EST","SYD","Undergrad","Python","Other"
"2018/01/04 12:00:19 PM EST","Other","Undergrad","Python","Harry Potter Franchise"
"2018/01/04 12:00:19 PM EST","Other","Undergrad","Python","Batman Begins/Dark Knight Rises"
"2018/01/04 12:00:47 PM EST","Other","Undergrad","C/C++","The Lord of the Rings (Trilogy)"
"2018/01/04 12:02:35 PM EST","SYD","Graduate (Masters)","Matlab","Harry Potter Franchise"
"2018/01/04 12:05:13 PM EST","SYD","Graduate (Masters)","C/C++","Star Wars Franchise"
"2018/01/04 12:06:38 PM EST","Other","Undergrad","Python","Star Wars Franchise"
"2018/01/04 1:56:37 PM EST","SYD","Graduate (PhD.)","Python","Star Wars Franchise"